0,14,18,1,17,5,0,19,17,8,10,2,0,0,17,11,13,13,6,0,16,13,8,18,13
0,15,11,3,16,7,1,7,18,7,13,4,0,0,25,11,13,22,5,0,14,10,3,20,12
0,7,7,1,10,12,0,14,10,23,13,1,0,0,19,20,4,17,9,0,8,13,18,13,17
0,11,7,4,10,7,0,12,18,15,6,2,0,0,22,16,7,8,16,0,18,15,14,15,16
0,12,9,7,19,11,1,7,4,13,18,1,0,0,12,25,8,24,9,0,13,14,4,13,13
0,26,14,7,12,9,0,9,8,15,8,2,0,0,18,20,8,13,17,0,8,7,8,15,12
0,22,13,10,11,7,0,15,15,17,11,4,0,0,11,13,15,16,7,0,7,12,9,12,12
0,18,16,6,15,9,0,8,21,11,9,2,0,0,11,13,12,15,8,0,17,16,12,10,8
0,22,4,15,7,12,2,10,14,8,9,8,2,0,11,11,18,14,9,1,16,17,6,13,10
1,28,10,4,9,14,1,5,14,8,4,13,1,1,17,19,17,11,7,0,9,10,9,9,13
0,18,3,2,12,10,1,13,9,24,11,4,1,0,19,14,10,7,17,1,14,13,8,8,13
0,16,10,6,15,7,0,11,11,16,13,6,0,0,11,16,14,16,14,0,15,11,5,16,9
0,7,13,11,22,13,0,10,12,13,20,1,0,0,10,17,11,9,13,0,14,15,11,4,12
0,16,5,8,16,14,0,15,8,12,6,2,0,0,17,22,10,14,13,0,17,10,9,18,6
7,1,4,10,1,12,22,3,0,0,3,25,45,34,0,3,1,1,2,55,0,0,4,3,1
42,5,7,19,1,10,30,0,1,4,3,8,13,55,2,3,1,3,3,23,3,2,0,1,1
15,4,5,13,2,2,37,0,1,3,6,18,26,32,1,5,2,5,4,37,5,2,9,2,2
