9,29,0,67,25,0,17,25,23,38,1,101,1,7,47,8,0,23,29,86,92,37,36,35,73
0,22,0,66,9,77,39,13,45,69,1,65,0,0,32,0,0,14,37,67,0,115,27,0,0
0,10,1,69,11,79,40,136,54,87,3,58,1,0,52,0,0,18,19,58,0,61,24,0,0
8,52,1,70,6,0,51,0,11,35,4,119,0,0,20,0,3,21,37,66,39,135,95,71,75
0,5,11,26,75,66,133,41,13,11,8,61,8,5,72,7,17,65,37,34,2,72,55,76,9
97,90,8,9,75,67,188,5,6,21,9,100,11,15,25,0,11,54,31,32,2,66,30,7,11
99,76,12,8,73,65,260,11,21,17,5,48,9,11,28,2,12,46,18,22,2,71,34,9,12
172,134,60,66,65,87,201,167,106,134,29,57,23,72,35,86,30,30,31,68,24,169,40,125,108
100,126,139,86,43,105,145,28,123,107,80,53,48,126,35,86,70,22,59,58,96,21,32,131,165
114,81,107,79,42,85,195,36,105,89,60,58,90,57,41,69,83,42,49,79,81,63,47,127,152
126,147,108,99,44,83,181,66,121,69,67,56,33,51,20,85,53,17,48,66,64,37,49,115,144
118,78,175,139,24,85,261,123,176,78,158,69,104,32,107,256,115,43,71,60,180,112,47,112,96
212,152,194,96,72,125,164,90,351,189,209,83,172,175,121,280,61,69,58,53,336,174,138,143,169
115,214,119,109,51,100,450,63,77,184,156,51,57,253,70,60,34,35,65,27,166,240,111,130,147
115,82,181,115,32,98,259,127,187,54,159,77,156,39,94,286,86,41,70,56,162,107,62,103,84
202,154,232,105,58,121,183,99,326,153,186,95,167,162,141,276,55,64,58,75,342,153,133,128,155
118,206,119,107,55,108,436,60,69,196,157,55,68,243,53,50,50,33,68,37,207,258,88,116,135
